title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
Jewels: Diamonds,jewels diamonds,contemporary,co,61,2,65,71,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Jewels: Emeralds,jewels emeralds,contemporary,co,52,32,60,53,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Jewels: Rubies,jewels rubies,contemporary,co,52,28,62,36,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Khepera,khepera,contemporary,co,67,14,48,37,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Boutique fantasque,la boutique fantasque,classic_comedy,co,48,42,58,62,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Esmeralda,la esmeralda,romantic_tragedy,female,26,24,65,41,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Source,la source,classic_romance,female,38,3,55,62,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Valse,la valse,contemporary,co,54,16,62,64,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
La Vivandière,la vivandiere,classic_comedy,female,35,26,52,32,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Las Hermanas,las hermanas,adult_literary_drama,female,13,24,50,43,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Le Baiser de la fée,le baiser de la fee,romantic_tragedy,female,46,38,55,21,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Le Jeune Homme et la Mort,le jeune homme et la mort,adult_literary_drama,male,41,50,68,13,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Le Parc,le parc,contemporary,co,23,2,55,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Les Patineurs,les patineurs,classic_comedy,co,52,26,60,39,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Les Présages,les presages,contemporary,co,23,24,48,51,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Les Rendezvous,les rendezvous,classic_comedy,co,30,28,52,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Liebeslieder Walzer,liebeslieder walzer,contemporary,co,38,38,58,50,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Liliom,liliom,adult_literary_drama,male,54,12,52,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Limb's Theorem,limb's theorem,contemporary,co,54,28,48,2,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Limen,limen,contemporary,co,48,10,50,63,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Minus 16,minus 16,contemporary,co,100,3,65,51,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Misericordes,misericordes,contemporary,co,26,24,48,33,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Monotones I,monotones i,contemporary,co,28,22,55,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Monotones II,monotones ii,contemporary,co,28,24,55,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Movements for Piano and Orchestra,movements for piano and orchestra,contemporary,co,36,66,52,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Multiplicity – Forms of Silence and Emptiness,multiplicity - forms of silence and emptiness,contemporary,co,46,2,48,33,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Na Floresta,na floresta,contemporary,co,51,22,52,57,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
No More Play,no more play,contemporary,co,79,5,55,99,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Odessa,odessa,contemporary,co,77,51,55,69,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
On the Dnieper,on the dnieper,romantic_tragedy,co,71,28,52,100,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Ondine,ondine,romantic_tragedy,female,46,2,60,55,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
"One Flat Thing, Reproduced",one flat thing reproduced,contemporary,co,54,52,65,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Other Dances,other dances,contemporary,co,31,24,58,40,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
