show_title,category,base_score,score_with_all_weights,score_without_live_analytics,score_without_economics,score_without_stone_olafson,delta_live_analytics,delta_economics,delta_stone_olafson,aud__engagement_factor,consumer_confidence_prairies,energy_index,inflation_adjustment_factor
The Vertiginous Thrill of Exactitude,contemporary_mixed_bill,33.699999999999996,37.73245491246,35.90147946,37.189634999999996,35.9356713452,1.8309754524600024,0.5428199124600042,1.7967835672600003,1.051,50.0,1036.49,1.0
Theme and Variations,contemporary_mixed_bill,36.800000000000004,41.203392901440004,39.20398944000001,40.610640000000004,39.241326572800006,1.9994034614399965,0.5927529014400008,1.9620663286399989,1.051,50.0,1036.49,1.0
Trockadero,touring_contemporary_company,45.650000000000006,48.21080513994686,45.8713654994737,50.37705750000001,45.9150525142351,2.3394396404731594,-2.16625236005315,2.2957526257117564,1.051,50.41,926.37,0.9466374269005848
Unleashed – Mixed Bill,contemporary_mixed_bill,52.50000000000001,51.22873324800001,48.742848000000016,57.936375000000005,48.78926976000001,2.4858852479999953,-6.707641751999994,2.4394634880000012,1.051,50.41,704.41,1.0
West Side Story Suite,pop_ip,67.80000000000001,77.79072911148002,72.22908924000001,76.67163000000002,74.08640867760002,5.561639871480011,1.119099111479997,3.7043204338799995,1.077,50.0,1036.49,1.0
Who Cares?,pop_ip,45.650000000000006,52.37679622329001,48.63212277000001,51.6233025,49.8826630698,3.744673453289998,0.7534937232900063,2.4941331534900044,1.077,50.0,1036.49,1.0
Winter Dreams,contemporary,40.75,45.62603969385,43.412026350000005,44.9696625,43.453371137,2.2140133438499916,0.6563771938499983,2.172668556849999,1.051,50.0,1036.49,1.0
Winter Gala,contemporary_mixed_bill,53.45,71.15070971964053,67.69810629842105,58.984747500000005,67.76258068537193,3.4526034212194787,12.165962219640527,3.3881290342686015,1.051,50.41,1375.17,1.179093567251462
Within the Golden Hour,contemporary_mixed_bill,39.85,44.61834801963001,42.45323313000001,43.976467500000005,42.49366478060001,2.1651148896300043,0.641880519630007,2.1246832390300057,1.051,50.0,1036.49,1.0
Wizard of Oz,family_classic,51.6,70.40634206813053,65.61634861894737,58.13514,67.05365911250526,4.789993449183157,12.271202068130528,3.3526829556252693,1.073,50.41,1375.17,1.1951754385964912
Woolf Works,contemporary,39.699999999999996,44.450399407259994,42.293434260000005,43.81093499999999,42.33371372119999,2.1569651472599887,0.6394644072600002,2.116685686060002,1.051,50.0,1036.49,1.0
